RANK,SEASON,TEAM,PLAYOFF_TEAM,AVERAGE_AGE,W,L,W/L%,PW,PL,MOV,SOS,SRS,ORTG,DRTG,NRTG,PACE,FT_RATE,3PA_RATE,TS%,OFFENSIVE_EFG%,OFFENSIVE_TOV%,OFFENSIVE_ORB%,OFFENSIVE_FT/FGA,DEFENSIVE_eFG%,DEFENSIVE_TOV%,DEFENSIVE_DRB%,DEFENSIVE_FT/FGA,ARENA,TOTAL_ATTENDANCE,ATTENDANCE/G
6.0,2017-2018,Oklahoma City Thunder,1,27.3,48.0,34.0,0.5853658536585366,50,32,3.41,0.0,3.42,110.7,107.2,3.5,96.7,0.275,0.345,0.546,0.514,12.4,27.7,0.19699999999999998,0.525,14.7,77.4,0.193,Chesapeake Energy Arena,746322,18203
7.0,2017-2018,Boston Celtics,1,24.7,55.0,27.0,0.6707317073170732,51,31,3.59,-0.35,3.23,107.6,103.9,3.7,96.0,0.243,0.35700000000000004,0.552,0.518,13.0,21.5,0.188,0.495,13.0,78.4,0.191,TD Garden,763584,18624
8.0,2017-2018,San Antonio Spurs,1,29.3,47.0,35.0,0.573170731707317,49,33,2.89,0.0,2.89,107.9,104.8,3.1,95.0,0.245,0.282,0.5429999999999999,0.507,12.2,23.7,0.18899999999999997,0.507,13.2,78.6,0.17,AT&T Center,754562,18404
9.0,2017-2018,Portland Trail Blazers,1,25.6,49.0,33.0,0.5975609756097561,48,34,2.6,0.0,2.6,109.1,106.4,2.7,96.5,0.24,0.324,0.5489999999999999,0.511,12.3,23.3,0.192,0.503,11.7,79.1,0.193,Moda Center,795750,19409
10.0,2017-2018,Minnesota Timberwolves,1,27.1,47.0,35.0,0.573170731707317,47,35,2.23,0.12,2.35,113.4,111.1,2.3,96.0,0.28,0.261,0.5660000000000001,0.523,11.4,24.4,0.225,0.539,13.9,76.4,0.18899999999999997,Target Center,699308,17056
11.0,2017-2018,Denver Nuggets,0,25.1,46.0,36.0,0.5609756097560976,45,37,1.48,0.09,1.57,112.5,111.0,1.5,96.8,0.258,0.35700000000000004,0.57,0.536,13.4,25.7,0.198,0.539,12.6,77.5,0.17300000000000001,Pepsi Center,702796,17141
12.0,2017-2018,New Orleans Pelicans,1,27.6,48.0,34.0,0.5853658536585366,44,38,1.3,0.18,1.48,109.6,108.3,1.3,100.5,0.237,0.319,0.573,0.541,13.3,20.0,0.183,0.513,12.5,76.7,0.175,Smoothie King Center,673920,16437
13.0,2017-2018,Indiana Pacers,1,26.2,48.0,34.0,0.5853658536585366,45,37,1.38,-0.2,1.18,109.5,108.1,1.4,96.0,0.222,0.284,0.557,0.525,12.3,22.7,0.17300000000000001,0.527,14.2,76.2,0.174,Bankers Life Fieldhouse,658119,16052
14.0,2017-2018,Cleveland Cavaliers,1,30.6,50.0,32.0,0.6097560975609756,43,39,0.94,-0.35,0.59,112.9,111.9,1.0,98.0,0.275,0.379,0.584,0.547,12.6,20.1,0.214,0.54,12.2,77.3,0.166,Quicken Loans Arena,843042,20562
15.0,2017-2018,Washington Wizards,1,26.9,43.0,39.0,0.524390243902439,43,39,0.59,-0.06,0.53,109.3,108.7,0.6,96.6,0.254,0.31,0.56,0.525,13.3,23.5,0.196,0.522,13.6,77.1,0.212,Capital One Arena,739302,18032
